,CIN,Name,Industry,Sector,Headquarters,Founded,Notes,link,Type,Industry.1,Founded.1,Headquarters.1,Key people,Services,Revenue,Operating income,Net income,Total assets,Total equity,Website,Number of employees,Traded as,Parent,Products,Area served,Founder,Owner,Subsidiaries,ISIN,Year,Revenue.1,CIN.1,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,Authorised Capital,Paid up capital,Date of Last Annual General Meeting,Date of Latest Balance Sheet,Description
0,L01119TN1986PLC013473,Aban Offshore,Oil & gas,Exploration & production,Chennai,1986,"Oil, petrochemical",https://en.wikipedia.org/wiki/Aban_Offshore,Public company (BSE: 523204) (NSE: ABAN),Oilfield services,1986,"Chennai, Tamil Nadu, India","Reji Abraham
[Managing Director]",Drilling,"₹1,326.62 crore (US$170 million) (2021)",₹−886.52 crore (US$−120 million) (2021),"₹−1,972.53 crore (US$−260 million) (2021)","₹4,619.29 crore (US$610 million) (2021)","₹−16,822.76 crore (US$−2.2 billion) (2021)",abanoffshore.com,,,,,,,,,,,,L01119TN1986PLC013473,ABAN OFFSHORE LIMITED,Active,RoC-Chennai,13473.0,Company limited by Shares,Non-govt company,Public,25 September 1986,"35 years, 6 month, 13 days",Growing of crops; market gardening; horticulture,-,"₹15,000,000,500","₹2,926,730,750",21 September 2020,31 March 2020,"Aban Offshore Limited is a Public incorporated on 25 September 1986. It is classified as Non-govt company and is registered at Registrar of Companies, Chennai. Its authorized share capital is Rs. 15,000,000,500 and its paid up capital is Rs. 2,926,730,750. It is inolved in Growing of crops; market gardening; horticulture

Aban Offshore Limited's Annual General Meeting (AGM) was last held on 21 September 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Aban Offshore Limited are Parasuraman Iyer Venkateswaran, Deepa Reji Abraham, Ashok Kumar Rout, Murari Pejavar, Chakkungal Pathayapura Gopalkrishnan, Subhashini, Krishnamurthy Bharathan, Reji Abraham, .

Aban Offshore Limited's Corporate Identification Number is (CIN) L01119TN1986PLC013473 and its registration number is 13473.Its Email address is secretarial@aban.com and its registered address is 'JANPRIYA CREST'96, PANTHEON ROAD, EGMORE CHENNAI TN 600008 IN , - , .

Current status of Aban Offshore Limited is - Active.

"
1,L61200GJ1985PLC007730,ABG Shipyard,Industrials,Shipbuilding,Ahmedabad,1985,Ship engineering,https://en.wikipedia.org/wiki/ABG_Shipyard,Public company,Shipbuilding,1985,"Surat, Gujarat, India","Rishi Agarwal (Chairman)
Ram Swaroop Nakra (Managing director)
DP Gupta (Vice president)
Subas Gantayat (Vice president)","Ship design
Ship building
Ship repair",,,,,,abgindia.com,250,"BSE: 532682
NSE: ABGSHIP",,,,,,,,,,L61200GJ1985PLC007730,ABG SHIPYARD LTD,Active,RoC-Ahmedabad,7730.0,Company limited by Shares,Non-govt company,Public,15 March 1985,"37 years, 0 month, 24 days",Inland water transport,-,"₹170,000,007,000","₹2,015,046,660",19 September 2016,31 March 2016,"Abg Shipyard Ltd is a Public incorporated on 15 March 1985. It is classified as Non-govt company and is registered at Registrar of Companies, Ahmedabad. Its authorized share capital is Rs. 170,000,007,000 and its paid up capital is Rs. 2,015,046,660. It is inolved in Inland water transport

Abg Shipyard Ltd's Annual General Meeting (AGM) was last held on 19 September 2016 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2016.

Directors of Abg Shipyard Ltd are Rishi Kamlesh Agarwal, Sushilkumar Agarwal, Muthuswamy Santhanam, Ashwani Kumar, Anilraj Chellan, Ravi Vimal Nevatia, Rajani Poddar, .

Abg Shipyard Ltd's Corporate Identification Number is (CIN) L61200GJ1985PLC007730 and its registration number is 7730.Its Email address is seclegal@abgindia.com and its registered address is MAGDALA VILLAGEOFF DUMAS ROAD SURAT GJ 395007 IN , - , .

Current status of Abg Shipyard Ltd is - Active.

"
2,L26940MH1936PLC002515,ACC Limited,Industrials,Building materials & fixtures,Mumbai,1936,Cement,https://en.wikipedia.org/wiki/ACC_Limited,Public,Building materials,1 August 1936; 85 years ago,"Mumbai, India","N. S. Sekhsaria (Chairman)
Neeraj Akhoury (MD & CEO)[1]",,"₹15,975 crore (US$2.1 billion) (2020)[2]","₹2,124 crore (US$280 million) (2020)[2]","₹1,363 crore (US$180 million) (2020)[2]","₹17,135 crore (US$2.2 billion) (2020)[2]","₹11,355 crore (US$1.5 billion) (2020)[2]",www.acclimited.com,"6,643 (2020)[2]","BSE: 500410
NSE: ACC",Holcim Group,Cement,,,,,,,,L26940MH1936PLC002515,ACC LIMITED,Active,RoC-Mumbai,2515.0,Company limited by Shares,Non-govt company,Public,01 August 1936,"85 years, 8 month, 7 days",Manufacture of non-metallic mineral products n.e.c.,97219,"₹3,249,999,870","₹1,877,872,640",07 April 2021,31 December 2020,"Acc Limited is a Public incorporated on 01 August 1936. It is classified as Non-govt company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 3,249,999,870 and its paid up capital is Rs. 1,877,872,640. It is inolved in Manufacture of non-metallic mineral products n.e.c.

Acc Limited's Annual General Meeting (AGM) was last held on 07 April 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 December 2020.

Directors of Acc Limited are Narotam Satyanarayan Sekhsaria, Shailesh Vishnubhai Haribhakti, Sundaram Damodarannair, Neeraj Akhoury, Vinayak Chatterjee, Martin Kriegner, Mangalam Ramasubramanian Kumar, Sushil Kumar Roongta, Falguni Sanjay Nayar, .

Acc Limited's Corporate Identification Number is (CIN) L26940MH1936PLC002515 and its registration number is 2515.Its Email address is HSSA-CompanySecretarial-Team@acclimited.com and its registered address is CEMENT HOUSE 121MAHARSHI KARVE ROAD MUMBAI MUMBAI MH 400020 IN , - , .

Current status of Acc Limited is - Active.

"
3,U74899DL1994PTC059676,Action Group,Conglomerate,-,New Delhi,1972,"Apparel, chemicals, retail, steel",https://en.wikipedia.org/wiki/Action_Group_(conglomerate),Private Company,Conglomerate,1972; 50 years ago,"Delhi, India",Lala Mange Ram Agarwal (Chairman),,83 billion (2020),,30.44 billion (2020),,,http://www.actiongroup.co.in/,"99,545",,,"Sports shoes, steel, chemicals, retail, medium-density fibreboard, particle board, uninterruptible power supply, infrastructure and PVC",,,,,,,,U74899DL1994PTC059676,ACTION RESEARCH GROUP PRIVATE LIMITED,Under Process of Striking Off,RoC-Delhi,59676.0,Company limited by Shares,Non-govt company,Private,16 June 1994,"27 years, 9 month, 22 days",OTHER BUSINESS ACTIVITIES,-,"₹10,000,000","₹9,967,500",29 September 2017,31 March 2017,"Action Research Group Private Limited is a Private incorporated on 16 June 1994. It is classified as Non-govt company and is registered at Registrar of Companies, Delhi. Its authorized share capital is Rs. 10,000,000 and its paid up capital is Rs. 9,967,500. It is inolved in OTHER BUSINESS ACTIVITIES

Action Research Group Private Limited's Annual General Meeting (AGM) was last held on 29 September 2017 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2017.

Directors of Action Research Group Private Limited are Sahil Arora, Shiv Kumar, Kavita Gurnani, Jagmohan Arora, Deep Gurnani and .

Action Research Group Private Limited's Corporate Identification Number is (CIN) U74899DL1994PTC059676 and its registration number is 59676.Its Email address is shivkumardelhi02@yahoo.com and its registered address is 3741,NETAJI SUBHASH MARG IIND FLOOR PRIYA HOTEL BUILDING, DARYAGANJ NEW DELHI DL 110002 IN , - , .

Current status of Action Research Group Private Limited is - Under Process of Striking Off.

"
4,U62200TG2011PTC074087,Air Costa,Consumer services,Airlines,Vijayawada,2013,Defunct 2017,https://en.wikipedia.org/wiki/Air_Costa,,,,"Vijayawada, Andhra Pradesh, India","Ramesh Lingamaneni Chairman
LVS Rajasekhar MD
Vivek Choudhary CEO",,,,,,,aircosta.in (now defunct),,,,,,,,,,,,U62200TG2011PTC074087,AIR COSTA AVIATION PRIVATE LIMITED,Active,RoC-Hyderabad,74087.0,Company limited by Shares,Non-govt company,Private,26 April 2011,"10 years, 11 month, 12 days",Non-scheduled air transport,-,"₹500,000,000","₹249,255,216",17 December 2020,31 March 2020,"Air Costa Aviation Private Limited is a Private incorporated on 26 April 2011. It is classified as Non-govt company and is registered at Registrar of Companies, Hyderabad. Its authorized share capital is Rs. 500,000,000 and its paid up capital is Rs. 249,255,216. It is inolved in Non-scheduled air transport

Air Costa Aviation Private Limited's Annual General Meeting (AGM) was last held on 17 December 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Air Costa Aviation Private Limited are Kakarla Vinay, Lingamaneni Venkata Surya Raja Sekhar, .

Air Costa Aviation Private Limited's Corporate Identification Number is (CIN) U62200TG2011PTC074087 and its registration number is 74087.Its Email address is cslepl@lepl.in and its registered address is 8-2-686/49/D/21/1, ROAD NO. 12, RC LAYOUT, BANJARA HILLS HYDERABAD TG 500033 IN , - , .

Current status of Air Costa Aviation Private Limited is - Active.

"
5,U62200OR2011PTC013043,Air Odisha,Consumer services,Airlines,Bhubaneswar,2012,Charter airline,https://en.wikipedia.org/wiki/Air_Odisha,,,,"Bhubaneswar, Odisha, India","Ashutosh Pani
(Managing Director)[2]",,,,,,,www.airodisha.com,,,,,,,,,,,,U62200OR2011PTC013043,AIR ODISHA AVIATION PRIVATE LIMITED,Active,RoC-Cuttack,13043.0,Company limited by Shares,Non-govt company,Private,25 January 2011,"11 years, 2 month, 14 days",Non-scheduled air transport,-,"₹100,000,000","₹100,000,000",30 September 2017,31 March 2017,"Air Odisha Aviation Private Limited is a Private incorporated on 25 January 2011. It is classified as Non-govt company and is registered at Registrar of Companies, Cuttack. Its authorized share capital is Rs. 100,000,000 and its paid up capital is Rs. 100,000,000. It is inolved in Non-scheduled air transport

Air Odisha Aviation Private Limited's Annual General Meeting (AGM) was last held on 30 September 2017 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2017.

Directors of Air Odisha Aviation Private Limited are Ashutosh Pani, Manorama Pani, Radhakanta Pani and .

Air Odisha Aviation Private Limited's Corporate Identification Number is (CIN) U62200OR2011PTC013043 and its registration number is 13043.Its Email address is roc.asutosh@gmail.com and its registered address is PLOT NO MIG -99 RAJIV NAGAR, PO. AIGINIA BHUBANESWAR OR 751019 IN , - , .

Current status of Air Odisha Aviation Private Limited is - Active.

"
6,U62200DL2007GOI161431,Air India,Consumer services,Airlines,New Delhi,1932,Airline,https://en.wikipedia.org/wiki/Air_India,,,15 October 1932; 89 years ago (as Tata Airlines),"Airlines House, Delhi, India[5]","J. R. D. Tata
(Founder)
Natarajan Chandrasekaran (Chairman)",,"₹26,430.59 crore (US$3.5 billion) (2019)[6]","₹−3,763.50 crore (US$−490 million) (2019)[6]",,"₹52,352.18 crore (US$6.9 billion) (2019)[7]","₹−29,466.36 crore (US$−3.9 billion) (2019)[7]",www.airindia.in,,,,,,,,Air India Express,,,,U62200DL2007GOI161431,AIR INDIA LIMITED,Active,RoC-Delhi,161431.0,Company limited by Shares,Union Govt company,Public,30 March 2007,"15 years, 0 month, 9 days",Non-scheduled air transport,-,"₹349,999,989,000","₹326,652,199,000",29 December 2020,31 March 2020,"Air India Limited is a Public incorporated on 30 March 2007. It is classified as Union Govt company and is registered at Registrar of Companies, Delhi. Its authorized share capital is Rs. 349,999,989,000 and its paid up capital is Rs. 326,652,199,000. It is inolved in Non-scheduled air transport

Air India Limited's Annual General Meeting (AGM) was last held on 29 December 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Air India Limited are Satyendra Kumar Mishra, Daggubati Purandeswari, Meenakshi Mallik, Vimlendra Anand Patwardhan, Vinod Shanker Hejmadi, Amrita Sharan, .

Air India Limited's Corporate Identification Number is (CIN) U62200DL2007GOI161431 and its registration number is 161431.Its Email address is Company.Secretary@airindia.in and its registered address is AIRLINES HOUSE, 113, GURUDWARA RAKABGANJ ROAD, NEW DELHI DL 110001 IN , - , .

Current status of Air India Limited is - Active.

"
7,U62100MH1971GOI015328,Air India Express,Consumer services,Airlines,Kochi,2005,"Low-cost airline, part of Air India",https://en.wikipedia.org/wiki/Air_India_Express,,,,"Air India Express Building, Kochi, Kerala[2]",,,₹36.2 billion (US$480 million) (FY 2017–18)[3],₹4.73 billion (US$62 million) (FY 2017–18)[3],₹2.62 billion (US$34 million) (FY 2017–18)[3],,,www.airindiaexpress.in/en,,,,,,,,,,,,U62100MH1971GOI015328,AIR INDIA EXPRESS LIMITED,Active,RoC-Mumbai,15328.0,Company limited by Shares,Union Govt company,Public,09 September 1971,"50 years, 6 month, 29 days",Scheduled air transport,12,"₹10,000,000,000","₹7,800,000,000",30 December 2020,31 March 2020,"Air India Express Limited is a Public incorporated on 09 September 1971. It is classified as Union Govt company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 10,000,000,000 and its paid up capital is Rs. 7,800,000,000. It is inolved in Scheduled air transport

Air India Express Limited's Annual General Meeting (AGM) was last held on 30 December 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Air India Express Limited are Pranjol Chandra, Saurabh Mahesh Agrawal, Deepak Sajwan, Vinod Shanker Hejmadi, .

Air India Express Limited's Corporate Identification Number is (CIN) U62100MH1971GOI015328 and its registration number is 15328.Its Email address is company.secretary@airindiaexpress.in and its registered address is 1st Floor, Old Operations Building Air India Complex, Old Airport, Santacruz (East) Mumbai Mumbai City MH 400029 IN , - , .

Current status of Air India Express Limited is - Active.

"
8,U18110CH1988PLC007928,Amartex,Consumer services,Apparel retailers,Gurugram,1984,Clothing retail,https://en.wikipedia.org/wiki/Amartex,,,,,,,,,,,,,,,,,,,,,,,,U18110CH1988PLC007928,AMARTEX INDUSTRIES LIMITED,Active,RoC-Chandigarh,7928.0,Company limited by Shares,Non-govt company,Public,27 January 1988,"34 years, 2 month, 12 days","Manufacture of wearing apparel, except fur apparel [this class includes manufacture of wearing apparel made of material not made in the same unit. Both regular and contract activities are included]",-,"₹172,500,000","₹161,000,000",31 December 2020,31 March 2020,"Amartex Industries Limited is a Public incorporated on 27 January 1988. It is classified as Non-govt company and is registered at Registrar of Companies, Chandigarh. Its authorized share capital is Rs. 172,500,000 and its paid up capital is Rs. 161,000,000. It is inolved in Manufacture of wearing apparel, except fur apparel [this class includes manufacture of wearing apparel made of material not made in the same unit. Both regular and contract activities are included]

Amartex Industries Limited's Annual General Meeting (AGM) was last held on 31 December 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Amartex Industries Limited are Varun Grover, Shivam Grover, Arun Grover, .

Amartex Industries Limited's Corporate Identification Number is (CIN) U18110CH1988PLC007928 and its registration number is 7928.Its Email address is cs@amartex.com and its registered address is HOUSE NUMBER 1846, SECTOR 34D, CHANDIGARH Chandigarh CH 160022 IN , - , .

Current status of Amartex Industries Limited is - Active.

"
9,L26942GJ1981PLC004717,Ambuja Cements,Industrials,Building materials & fixtures,Mumbai,1983,Cement,https://en.wikipedia.org/wiki/Ambuja_Cements,Public,Building materials,1983,"Mumbai, Maharashtra, India","Suresh Kumar Neotia, Founder
Narotam Sekhsaria,Co-Founder, Chairman[1]
Neeraj Akhoury, Managing Director & CEO[2]",,"₹27,684 crore (US$3.6 billion) (2020)[3]","₹4,025 crore (US$530 million) (2020)[3]","₹2,763 crore (US$360 million) (2020)[3]","₹40,182 crore (US$5.3 billion) (2020)[3]","₹23,680 crore (US$3.1 billion) (2020)[3]",www.ambujacement.com,"4,625 (2020)[3]","BSE: 500425
NSE: AMBUJACEM",Holcim Group,Cement,,,,,,,,L26942GJ1981PLC004717,AMBUJA CEMENTS LIMITED,Active,RoC-Ahmedabad,4717.0,Company limited by Shares,Non-govt company,Public,20 October 1981,"40 years, 5 month, 19 days",Manufacture of non-metallic mineral products n.e.c.,-,"₹81,499,996,000","₹3,971,300,100",09 April 2021,31 December 2020,"Ambuja Cements Limited is a Public incorporated on 20 October 1981. It is classified as Non-govt company and is registered at Registrar of Companies, Ahmedabad. Its authorized share capital is Rs. 81,499,996,000 and its paid up capital is Rs. 3,971,300,100. It is inolved in Manufacture of non-metallic mineral products n.e.c.

Ambuja Cements Limited's Annual General Meeting (AGM) was last held on 09 April 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 December 2020.

Directors of Ambuja Cements Limited are Nasser Mukhtar Munjee, Neeraj Akhoury, Praveen Kumar Molri, Christof Werner Hassig, Muthu Ramanathan, Narotam Satyanarayan Sekhsaria, Mahendrakumar Sharma, Omkar Goswami, Then Hwee Tan, Shailesh Vishnubhai Haribhakti, Rajendra Prabhakar Chitale, Shikha Sanjaya Sharma, Martin Kriegner, Ranjit Gobindram Shahani, .

Ambuja Cements Limited's Corporate Identification Number is (CIN) L26942GJ1981PLC004717 and its registration number is 4717.Its Email address is shares@ambujacement.com and its registered address is P O AMBUJA NAGAR, TALUKA KODINAR, AMRELI, DIST JUNAGADH GJ 362715 IN , - , .

Current status of Ambuja Cements Limited is - Active.

"
